ep,seed,reward,floor_reached,victory,turns,cards_played,final_hp,final_san
0,20000,35.71000000000003,10,False,22,63,-1,14
1,20001,35.84999999999997,10,False,14,35,-3,30
2,20002,30.150000000000006,9,False,16,42,-1,24
3,20003,30.30000000000004,10,False,13,49,18,-1
4,20004,61.88,10,True,16,49,3,5
5,20005,63.9,10,True,19,61,15,9
6,20006,63.15000000000002,10,True,18,55,20,20
7,20007,34.15,10,False,20,47,-3,26
8,20008,34.999999999999986,10,False,14,43,0,26
9,20009,61.95,10,True,22,65,17,19
10,20010,33.900000000000006,10,False,15,49,0,24
11,20011,31.470000000000013,10,False,22,48,0,12
12,20012,62.75,10,True,10,39,15,21
13,20013,31.450000000000035,10,False,20,50,0,7
14,20014,36.910000000000004,10,False,26,63,-2,30
15,20015,63.39999999999999,10,True,16,43,3,23
16,20016,34.150000000000006,10,False,16,53,0,14
17,20017,61.11000000000001,10,True,15,46,8,11
18,20018,60.199999999999974,10,True,15,49,11,22
19,20019,65.15,10,True,16,51,19,23
20,20020,34.45,10,False,14,45,-1,30
21,20021,64.33000000000001,10,True,17,52,15,30
22,20022,35.29999999999998,10,False,16,46,-6,30
23,20023,60.5,10,True,14,55,19,11
24,20024,64.89999999999999,10,True,12,39,15,24
25,20025,62.74999999999997,10,True,15,45,5,30
26,20026,35.15000000000002,10,False,18,49,-7,27
27,20027,64.55,10,True,21,58,18,13
28,20028,34.51000000000001,10,False,24,62,-1,23
29,20029,30.9,10,False,16,38,-4,12
30,20030,34.64999999999999,10,False,17,53,-3,21
31,20031,31.140000000000036,10,False,21,57,-9,11
32,20032,61.250000000000014,10,True,16,51,26,10
33,20033,63.41000000000001,10,True,20,50,5,-1
34,20034,25.900000000000013,8,False,15,43,-1,17
35,20035,32.15,10,False,18,58,-8,21
36,20036,27.00000000000003,8,False,16,50,-8,26
37,20037,64.45,10,True,13,46,28,10
38,20038,64.11000000000004,10,True,25,62,27,4
39,20039,31.89999999999999,10,False,14,41,-4,29
40,20040,62.93000000000001,10,True,15,42,10,29
41,20041,61.55000000000001,10,True,11,39,20,9
42,20042,62.65000000000001,10,True,14,43,26,10
43,20043,62.64999999999999,10,True,12,36,7,30
44,20044,62.69999999999999,10,True,16,53,3,26
45,20045,60.93,10,True,16,46,22,9
46,20046,66.44999999999999,10,True,17,53,10,30
47,20047,28.949999999999996,10,False,17,44,-3,14
48,20048,62.99000000000003,10,True,20,53,17,11
49,20049,32.34999999999998,10,False,19,47,-10,29
50,20050,62.100000000000016,10,True,13,41,3,14
51,20051,34.96999999999999,10,False,23,58,-2,27
52,20052,35.55000000000001,10,False,18,55,0,14
53,20053,30.19999999999999,10,False,12,37,-6,20
54,20054,32.35000000000002,10,False,16,43,-5,15
55,20055,64.14999999999999,10,True,12,36,43,18
56,20056,35.59999999999999,10,False,21,51,-13,16
57,20057,65.48,10,True,14,44,20,26
58,20058,35.69999999999999,10,False,21,62,-9,23
59,20059,59.899999999999984,10,True,17,58,7,3
60,20060,66.69999999999997,10,True,20,51,16,19
61,20061,32.790000000000006,10,False,17,48,-2,15
62,20062,33.67,10,False,22,56,0,16
63,20063,64.54999999999998,10,True,23,67,3,30
64,20064,64.99999999999997,10,True,17,49,1,22
65,20065,63.2,10,True,13,45,10,30
66,20066,67.94999999999999,10,True,15,47,9,26
67,20067,32.30000000000001,10,False,17,39,-6,21
68,20068,31.11000000000002,10,False,20,61,-4,19
69,20069,63.39999999999998,10,True,16,42,3,23
70,20070,59.62999999999998,10,True,14,46,25,11
71,20071,32.14999999999998,10,False,20,53,-6,12
72,20072,32.95,10,False,11,35,46,-2
73,20073,30.949999999999992,10,False,18,49,24,-1
74,20074,31.749999999999996,10,False,13,41,-9,28
75,20075,30.949999999999996,10,False,14,39,-7,28
76,20076,35.5,10,False,19,57,-3,26
77,20077,62.62999999999998,10,True,14,48,18,27
78,20078,62.39999999999999,10,True,12,47,10,29
79,20079,62.6,10,True,15,43,23,20
80,20080,32.650000000000006,10,False,17,49,-7,24
81,20081,61.30000000000001,10,True,14,34,28,10
82,20082,30.44999999999998,10,False,14,32,-16,24
83,20083,67.74999999999997,10,True,15,47,20,30
84,20084,65.25,10,True,14,45,13,30
85,20085,58.650000000000006,10,True,13,33,17,7
86,20086,29.500000000000007,10,False,15,41,-5,14
87,20087,63.50000000000002,10,True,18,45,15,26
88,20088,33.95999999999999,10,False,17,50,-1,20
89,20089,62.459999999999994,10,True,13,43,21,24
90,20090,35.549999999999976,10,False,16,44,-2,24
91,20091,33.499999999999986,10,False,16,54,-5,21
92,20092,33.970000000000006,10,False,20,51,-4,22
93,20093,66.20999999999998,10,True,17,50,-1,30
94,20094,60.19999999999999,10,True,15,46,11,2
95,20095,62.55000000000001,10,True,15,53,32,6
96,20096,32.45,10,False,16,44,-1,16
97,20097,31.89999999999999,10,False,18,53,0,20
98,20098,63.3,10,True,21,61,14,21
99,20099,66.09999999999998,10,True,13,51,39,18
100,20100,33.90000000000001,10,False,18,54,-7,15
101,20101,34.94999999999998,10,False,19,53,-4,22
102,20102,62.47,10,True,21,62,11,20
103,20103,32.38999999999999,10,False,16,42,-4,22
104,20104,65.49999999999997,10,True,13,41,26,14
105,20105,32.629999999999974,10,False,19,45,-7,30
106,20106,66.74999999999997,10,True,16,54,12,26
107,20107,63.56,10,True,13,40,29,19
108,20108,63.44999999999999,10,True,23,62,1,26
109,20109,36.85999999999997,10,False,21,64,-13,30
110,20110,63.44999999999998,10,True,16,49,11,26
111,20111,32.350000000000016,10,False,16,48,0,20
112,20112,61.519999999999996,10,True,15,40,3,27
113,20113,32.150000000000006,10,False,14,37,-4,22
114,20114,32.600000000000016,10,False,24,55,8,-1
115,20115,60.61000000000002,10,True,16,45,20,6
116,20116,63.75,10,True,18,48,7,12
117,20117,23.650000000000013,8,False,13,36,-9,16
118,20118,66.5,10,True,16,48,26,12
119,20119,61.94000000000001,10,True,18,44,24,9
120,20120,34.170000000000016,10,False,19,51,-8,30
121,20121,62.09999999999998,10,True,12,45,24,21
122,20122,37.34999999999997,10,False,22,65,-17,30
123,20123,63.25,10,True,18,54,12,9
124,20124,33.55999999999998,10,False,20,53,-4,30
125,20125,62.510000000000005,10,True,20,61,18,17
126,20126,32.65000000000001,10,False,13,41,0,18
127,20127,11.950000000000001,5,False,7,20,49,0
128,20128,32.09999999999998,10,False,19,50,-3,30
129,20129,31.500000000000004,10,False,14,34,-7,22
130,20130,34.88,10,False,15,39,-3,30
131,20131,60.89,10,True,16,41,5,14
132,20132,29.850000000000016,10,False,18,44,-2,20
133,20133,31.59999999999998,10,False,18,45,-5,25
134,20134,37.20999999999999,10,False,31,77,-3,23
135,20135,64.34999999999998,10,True,16,57,25,26
136,20136,61.89999999999999,10,True,12,42,19,24
137,20137,66.97999999999998,10,True,19,55,16,25
138,20138,60.98,10,True,14,48,11,15
139,20139,62.300000000000004,10,True,15,51,30,6
140,20140,33.17000000000002,10,False,14,42,-2,4
141,20141,63.10000000000002,10,True,20,57,22,11
142,20142,34.09999999999999,10,False,15,53,0,27
143,20143,59.2,10,True,12,34,10,11
144,20144,65.30999999999999,10,True,20,51,15,26
145,20145,66.31999999999996,10,True,25,61,14,20
146,20146,60.11,10,True,17,39,18,16
147,20147,32.95000000000001,10,False,16,47,-12,22
148,20148,31.000000000000004,10,False,12,30,0,30
149,20149,63.89999999999998,10,True,14,47,10,26
150,20150,63.129999999999995,10,True,17,53,3,14
151,20151,61.74999999999999,10,True,15,36,16,22
152,20152,31.099999999999994,10,False,15,38,-10,26
153,20153,31.79999999999999,10,False,18,43,-12,20
154,20154,32.300000000000004,10,False,17,50,-8,13
155,20155,59.230000000000004,10,True,17,45,3,10
156,20156,23.27000000000003,8,False,15,45,15,-1
157,20157,61.879999999999995,10,True,13,42,12,20
158,20158,60.00000000000001,10,True,13,41,21,2
159,20159,63.499999999999986,10,True,15,48,15,20
160,20160,63.599999999999994,10,True,12,43,30,22
161,20161,64.20000000000002,10,True,22,61,25,-2
162,20162,33.29999999999998,10,False,14,38,-3,26
163,20163,34.449999999999996,10,False,14,38,-7,28
164,20164,62.900000000000006,10,True,12,41,12,30
165,20165,62.950000000000024,10,True,18,48,4,10
166,20166,63.900000000000006,10,True,14,40,15,24
167,20167,31.899999999999984,10,False,15,45,-2,22
168,20168,61.5,10,True,16,40,7,10
169,20169,63.02999999999999,10,True,15,46,1,30
170,20170,32.550000000000004,10,False,14,43,-10,20
171,20171,64.70000000000002,10,True,16,50,-1,20
172,20172,31.049999999999994,9,False,18,38,-1,30
173,20173,33.24999999999998,10,False,18,52,-6,25
174,20174,34.35000000000001,10,False,15,41,0,22
175,20175,63.22999999999995,10,True,19,45,13,18
176,20176,34.95000000000001,10,False,18,51,-6,30
177,20177,35.27999999999999,10,False,16,54,-1,19
178,20178,62.010000000000026,10,True,17,50,21,13
179,20179,64.1,10,True,16,49,16,23
180,20180,63.5,10,True,15,44,24,19
181,20181,61.95,10,True,15,41,7,18
182,20182,35.899999999999984,10,False,14,44,-5,28
183,20183,35.76000000000002,10,False,20,55,-5,20
184,20184,33.280000000000015,10,False,14,37,-5,26
185,20185,62.8,10,True,21,46,29,15
186,20186,34.25,10,False,21,60,0,30
187,20187,62.35000000000004,10,True,17,52,2,24
188,20188,32.44999999999999,10,False,19,48,-13,30
189,20189,64.0,10,True,18,51,4,30
190,20190,62.18,10,True,16,47,29,17
191,20191,64.99999999999996,10,True,17,58,17,25
192,20192,61.14999999999996,10,True,14,47,6,27
193,20193,31.359999999999985,10,False,15,55,-2,19
194,20194,32.279999999999994,10,False,15,49,-15,30
195,20195,62.2,10,True,13,46,4,12
196,20196,30.50000000000001,10,False,18,46,-25,14
197,20197,60.86000000000003,10,True,15,45,20,0
198,20198,65.79,10,True,19,48,6,30
199,20199,63.58000000000001,10,True,12,46,14,12
200,20200,32.65,10,False,17,41,0,12
201,20201,62.44999999999999,10,True,11,33,23,30
202,20202,63.93000000000001,10,True,17,46,20,9
203,20203,33.929999999999986,10,False,17,49,-3,30
204,20204,33.49999999999997,10,False,16,45,-11,24
205,20205,63.8,10,True,11,37,5,20
206,20206,66.00000000000001,10,True,16,40,28,21
207,20207,62.589999999999975,10,True,15,46,18,20
208,20208,58.39000000000003,10,True,16,53,11,3
209,20209,37.19000000000002,10,False,27,72,-1,23
210,20210,26.300000000000043,8,False,18,49,-11,23
211,20211,63.70999999999995,10,True,21,60,10,26
212,20212,64.44999999999999,10,True,19,52,10,22
213,20213,63.010000000000005,10,True,13,50,7,26
214,20214,31.899999999999974,10,False,14,41,-2,20
215,20215,59.45000000000001,10,True,12,41,26,9
216,20216,32.34000000000004,10,False,18,49,-5,7
217,20217,63.599999999999994,10,True,20,46,25,17
218,20218,61.5,10,True,12,35,19,28
219,20219,24.980000000000008,8,False,13,24,-3,21
220,20220,61.34999999999998,10,True,16,46,24,19
221,20221,31.649999999999977,10,False,15,41,-3,26
222,20222,62.49999999999999,10,True,13,39,10,20
223,20223,62.100000000000016,10,True,20,52,4,11
224,20224,59.0,10,True,14,42,18,4
225,20225,62.499999999999986,10,True,17,54,3,27
226,20226,63.499999999999986,10,True,13,45,10,30
227,20227,31.90000000000002,10,False,19,45,-1,16
228,20228,62.400000000000006,10,True,12,33,16,22
229,20229,65.99999999999999,10,True,24,69,1,18
230,20230,65.59999999999998,10,True,25,57,5,22
231,20231,60.39999999999999,10,True,14,36,6,14
232,20232,34.350000000000016,10,False,16,45,0,24
233,20233,62.04999999999998,10,True,15,47,40,18
234,20234,64.15,10,True,11,31,19,26
235,20235,64.21,10,True,15,43,33,22
236,20236,30.149999999999995,9,False,17,50,-2,30
237,20237,62.800000000000004,10,True,17,44,29,10
238,20238,62.96000000000002,10,True,20,50,-1,26
239,20239,62.64999999999999,10,True,16,48,14,21
240,20240,63.64999999999999,10,True,18,54,5,19
241,20241,59.63000000000003,10,True,14,48,14,6
242,20242,65.10000000000001,10,True,26,64,4,30
243,20243,29.830000000000005,9,False,17,43,-12,28
244,20244,32.79999999999999,10,False,15,42,-11,21
245,20245,33.45000000000001,10,False,19,49,0,30
246,20246,64.64999999999998,10,True,18,52,2,28
247,20247,30.130000000000013,10,False,21,55,-5,18
248,20248,36.95000000000001,10,False,17,49,-3,23
249,20249,33.89999999999997,10,False,15,46,-6,19
250,20250,34.900000000000006,10,False,18,52,-1,27
251,20251,63.56000000000003,10,True,14,37,16,16
252,20252,65.3,10,True,13,39,32,22
253,20253,65.35,10,True,18,57,25,13
254,20254,61.399999999999984,10,True,13,44,2,21
255,20255,62.699999999999974,10,True,18,44,5,22
256,20256,33.40000000000001,10,False,20,53,-4,24
257,20257,61.98000000000002,10,True,17,41,6,20
258,20258,36.19999999999999,10,False,14,42,-4,26
259,20259,63.68000000000002,10,True,13,38,11,17
260,20260,30.600000000000005,10,False,17,39,-2,23
261,20261,31.349999999999987,10,False,13,31,-1,24
262,20262,31.5,10,False,14,39,0,22
263,20263,64.30000000000001,10,True,19,55,15,20
264,20264,35.32999999999996,10,False,14,55,-3,24
265,20265,31.89999999999999,10,False,17,51,-10,27
266,20266,62.54999999999999,10,True,18,44,16,5
267,20267,60.129999999999995,10,True,16,47,8,22
268,20268,32.40000000000002,10,False,20,51,-8,20
269,20269,61.75,10,True,19,55,7,19
270,20270,63.94999999999999,10,True,15,46,24,26
271,20271,62.19999999999999,10,True,15,51,6,22
272,20272,62.050000000000026,10,True,13,47,8,11
273,20273,19.230000000000018,7,False,10,28,45,0
274,20274,30.35,10,False,16,52,-1,-1
275,20275,30.000000000000004,10,False,13,47,-10,15
276,20276,61.95,10,True,12,38,20,11
277,20277,61.629999999999995,10,True,22,52,5,14
278,20278,31.40000000000002,10,False,20,56,-7,4
279,20279,65.65,10,True,16,43,35,7
280,20280,61.500000000000014,10,True,18,51,18,6
281,20281,33.25000000000003,10,False,19,53,-1,4
282,20282,33.15,10,False,15,44,-5,12
283,20283,63.10000000000002,10,True,20,50,2,20
284,20284,33.960000000000036,10,False,20,54,-5,10
285,20285,60.30000000000002,10,True,15,44,25,3
286,20286,65.44999999999999,10,True,15,43,16,26
287,20287,61.83,10,True,18,35,7,-1
288,20288,23.05000000000002,8,False,15,35,0,16
289,20289,63.45,10,True,14,42,22,29
290,20290,61.44999999999999,10,True,14,43,11,17
291,20291,33.59999999999999,10,False,15,41,-8,21
292,20292,62.400000000000006,10,True,17,45,8,22
293,20293,61.39999999999999,10,True,17,39,21,22
294,20294,66.97999999999998,10,True,19,56,26,26
295,20295,61.65000000000003,10,True,15,49,30,2
296,20296,32.799999999999976,10,False,16,48,0,27
297,20297,62.03,10,True,17,45,2,12
298,20298,62.1,10,True,16,43,0,10
299,20299,62.449999999999974,10,True,11,38,22,22
300,20300,61.66999999999999,10,True,20,48,9,28
301,20301,60.73000000000002,10,True,18,49,27,14
302,20302,62.09999999999998,10,True,15,46,2,30
303,20303,60.0,10,True,11,34,26,20
304,20304,58.85000000000004,10,True,18,47,6,3
305,20305,33.84999999999998,10,False,16,42,-9,17
306,20306,33.22999999999997,10,False,13,35,15,-1
307,20307,33.009999999999984,10,False,18,52,-3,30
308,20308,19.9,7,False,9,28,50,0
309,20309,59.78000000000002,10,True,16,48,8,11
310,20310,63.96000000000001,10,True,21,57,24,18
311,20311,64.98,10,True,15,45,5,28
312,20312,31.149999999999995,10,False,12,41,-7,28
313,20313,64.14999999999999,10,True,14,45,16,26
314,20314,60.78,10,True,20,51,5,11
315,20315,63.800000000000026,10,True,21,58,4,20
316,20316,61.25000000000003,10,True,15,45,14,10
317,20317,32.05000000000003,10,False,20,46,0,11
318,20318,35.349999999999994,10,False,21,60,-14,23
319,20319,33.29999999999999,10,False,16,53,-8,30
320,20320,10.349999999999998,5,False,7,17,44,-1
321,20321,32.56000000000001,10,False,20,56,-12,14
322,20322,32.41,10,False,20,50,-11,16
323,20323,34.34999999999997,10,False,18,48,0,18
324,20324,30.50000000000001,10,False,16,49,-9,19
325,20325,35.46000000000001,10,False,24,61,-4,24
326,20326,64.27999999999999,10,True,14,45,8,30
327,20327,64.01000000000002,10,True,15,51,24,4
328,20328,65.07999999999997,10,True,13,36,18,27
329,20329,63.20000000000002,10,True,21,55,15,8
330,20330,33.40000000000003,10,False,21,56,-11,7
331,20331,64.1,10,True,16,48,19,26
332,20332,62.249999999999986,10,True,13,41,11,22
333,20333,61.150000000000006,10,True,14,49,3,11
334,20334,33.85000000000001,10,False,13,34,-6,13
335,20335,35.35999999999999,10,False,22,52,-15,26
336,20336,62.599999999999994,10,True,18,59,28,7
337,20337,64.51,10,True,22,58,5,14
338,20338,31.599999999999987,10,False,14,43,-4,23
339,20339,63.89999999999998,10,True,21,54,6,13
340,20340,31.000000000000025,10,False,19,47,-9,15
341,20341,34.70000000000002,10,False,23,62,-5,11
342,20342,68.00000000000001,10,True,15,45,29,26
343,20343,64.97000000000001,10,True,22,58,15,6
344,20344,62.249999999999986,10,True,9,38,15,25
345,20345,24.550000000000022,8,False,16,29,30,0
346,20346,60.90000000000002,10,True,16,51,12,7
347,20347,32.05000000000003,10,False,16,55,20,0
348,20348,63.14999999999999,10,True,13,42,5,20
349,20349,31.879999999999995,10,False,14,41,-2,30
350,20350,64.25000000000003,10,True,16,38,31,0
351,20351,24.150000000000013,8,False,14,32,-2,14
352,20352,38.03999999999997,10,False,23,61,-1,30
353,20353,63.44999999999999,10,True,15,38,11,23
354,20354,61.55,10,True,15,47,4,23
355,20355,35.300000000000004,10,False,23,62,-4,10
356,20356,64.14999999999999,10,True,18,42,23,6
357,20357,34.54,10,False,21,54,-10,19
358,20358,63.65000000000002,10,True,17,49,19,14
359,20359,36.099999999999994,10,False,21,46,-7,30
360,20360,61.45999999999998,10,True,17,48,6,23
361,20361,33.55,10,False,22,56,-13,23
362,20362,62.55000000000003,10,True,17,55,12,7
363,20363,62.50999999999999,10,True,16,48,1,27
364,20364,64.33,10,True,17,47,19,27
365,20365,65.60000000000002,10,True,18,52,19,25
366,20366,34.949999999999996,10,False,21,56,0,26
367,20367,33.19999999999999,10,False,15,36,-4,16
368,20368,34.04000000000001,10,False,22,61,-12,30
369,20369,64.36,10,True,21,57,23,17
370,20370,64.88999999999999,10,True,20,56,11,18
371,20371,23.799999999999997,8,False,8,23,30,0
372,20372,32.99999999999999,10,False,12,35,-5,14
373,20373,63.99999999999998,10,True,19,49,4,28
374,20374,63.990000000000016,10,True,22,54,13,30
375,20375,63.00000000000003,10,True,25,60,2,12
376,20376,13.18,6,False,9,24,42,-1
377,20377,61.349999999999994,10,True,18,53,8,23
378,20378,62.45,10,True,19,48,9,7
379,20379,35.84999999999998,10,False,15,46,0,30
380,20380,64.14999999999999,10,True,21,62,8,19
381,20381,65.15,10,True,20,57,2,26
382,20382,62.77999999999999,10,True,16,53,19,25
383,20383,34.24999999999999,10,False,18,46,-4,10
384,20384,60.80000000000002,10,True,15,46,14,8
385,20385,34.40000000000002,10,False,15,43,35,0
386,20386,32.50000000000001,10,False,20,46,-1,11
387,20387,61.099999999999994,10,True,15,46,3,20
388,20388,32.70000000000001,10,False,15,46,-1,30
389,20389,61.749999999999986,10,True,20,47,6,19
390,20390,61.60000000000001,10,True,13,42,26,17
391,20391,34.64999999999999,10,False,22,51,-3,19
392,20392,63.690000000000005,10,True,21,54,7,23
393,20393,61.43000000000001,10,True,18,46,13,22
394,20394,62.7,10,True,17,57,3,24
395,20395,32.04999999999999,10,False,16,35,2,-2
396,20396,67.8,10,True,22,58,14,26
397,20397,33.85,10,False,18,51,-13,30
398,20398,6.1,4,False,4,16,50,-1
399,20399,20.099999999999994,7,False,6,24,50,-1
400,20400,63.17999999999999,10,True,16,45,24,20
401,20401,35.580000000000005,10,False,28,74,-6,22
402,20402,60.799999999999976,10,True,14,31,12,27
403,20403,31.999999999999996,10,False,17,46,-15,24
404,20404,62.499999999999986,10,True,15,53,9,19
405,20405,33.84000000000001,10,False,15,43,-6,29
